"","Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"102","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2100,505.447417853007,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"103","Mt","01272026_His_constrSupply_BR_noTC","copper",2021,0,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"104","Mt","01272026_His_constrSupply_BR_noTC","copper",2025,116.951860509,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"105","Mt","01272026_His_constrSupply_BR_noTC","copper",2030,253.8288186985,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"106","Mt","01272026_His_constrSupply_BR_noTC","copper",2035,407.46732040525,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"107","Mt","01272026_His_constrSupply_BR_noTC","copper",2040,574.85079754325,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"108","Mt","01272026_His_constrSupply_BR_noTC","copper",2045,755.54278744225,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"109","Mt","01272026_His_constrSupply_BR_noTC","copper",2050,946.71315870315,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"110","Mt","01272026_His_constrSupply_BR_noTC","copper",2055,1146.19783083943,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"111","Mt","01272026_His_constrSupply_BR_noTC","copper",2060,1354.0749279053,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"112","Mt","01272026_His_constrSupply_BR_noTC","copper",2065,1565.75710496925,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"113","Mt","01272026_His_constrSupply_BR_noTC","copper",2070,1779.84154221785,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"114","Mt","01272026_His_constrSupply_BR_noTC","copper",2075,1991.55296750783,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"115","Mt","01272026_His_constrSupply_BR_noTC","copper",2080,2196.62193205003,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"116","Mt","01272026_His_constrSupply_BR_noTC","copper",2085,2391.63652975922,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"117","Mt","01272026_His_constrSupply_BR_noTC","copper",2090,2573.26681128422,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"118","Mt","01272026_His_constrSupply_BR_noTC","copper",2095,2736.96212487457,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"119","Mt","01272026_His_constrSupply_BR_noTC","copper",2100,2882.60084166162,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"120","Mt","01272026_His_constrSupply_BR_noTC","lithium",2021,0,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"121","Mt","01272026_His_constrSupply_BR_noTC","lithium",2025,0.7647744945,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"122","Mt","01272026_His_constrSupply_BR_noTC","lithium",2030,2.23344464075,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"123","Mt","01272026_His_constrSupply_BR_noTC","lithium",2035,4.362266501,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"124","Mt","01272026_His_constrSupply_BR_noTC","lithium",2040,6.831105152225,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"125","Mt","01272026_His_constrSupply_BR_noTC","lithium",2045,9.74120066455,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"126","Mt","01272026_His_constrSupply_BR_noTC","lithium",2050,12.9222457443,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"127","Mt","01272026_His_constrSupply_BR_noTC","lithium",2055,16.344181148675,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"128","Mt","01272026_His_constrSupply_BR_noTC","lithium",2060,19.995363480475,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"129","Mt","01272026_His_constrSupply_BR_noTC","lithium",2065,23.725592541525,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"130","Mt","01272026_His_constrSupply_BR_noTC","lithium",2070,27.482519712,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"131","Mt","01272026_His_constrSupply_BR_noTC","lithium",2075,31.165595099875,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"132","Mt","01272026_His_constrSupply_BR_noTC","lithium",2080,34.69239290985,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"133","Mt","01272026_His_constrSupply_BR_noTC","lithium",2085,37.982528591525,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"134","Mt","01272026_His_constrSupply_BR_noTC","lithium",2090,40.97208947495,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
